Flow Duration,Total Fwd Packets,Label
114456999,45,BENIGN
114347504,56,BENIGN
36435473,6,BENIGN
36434705,6,BENIGN
36434626,6,BENIGN
3,2,BENIGN
2,2,BENIGN
2,2,BENIGN
28870362,5,BENIGN
118365715,40,Portmap
34435249,6,BENIGN
34435196,6,BENIGN
34425788,6,BENIGN
221,4,BENIGN
171,5,BENIGN
258,4,BENIGN
39233,1,BENIGN
1,2,BENIGN
1,2,BENIGN
4,3,BENIGN
509,3,BENIGN
96,1,BENIGN
4,3,BENIGN
69,1,BENIGN
60,4,BENIGN
1,2,BENIGN
4,3,BENIGN
72,3,BENIGN
169805,4,Portmap
117049586,18,BENIGN
9029034,6,BENIGN
110,4,BENIGN
2,2,BENIGN
932,5,BENIGN
61,1,BENIGN
196,4,BENIGN
126,4,BENIGN
1,2,BENIGN
1,2,BENIGN
4,3,BENIGN
99,1,BENIGN
4,3,BENIGN
91,1,BENIGN
155801,4,Portmap
1,2,BENIGN
135798,4,BENIGN
90305,4,Portmap
9014948,6,BENIGN
163,2,Portmap
10226642,33,Portmap
998,1,Portmap
394087,1,Portmap
21046,2,BENIGN
65028406,14,BENIGN
101748,4,Portmap
112297650,39,BENIGN
102968,4,Portmap
117015302,40,Portmap
112958286,52,BENIGN
21070,2,BENIGN
1643102,32,BENIGN
217,1,BENIGN
52811,1,BENIGN
10927448,23,Portmap
150268,4,Portmap
15670970,16,BENIGN
5384485,5,BENIGN
21273,2,BENIGN
21275,2,BENIGN
21094,2,BENIGN
21219,2,BENIGN
117468529,36,BENIGN
5362515,5,BENIGN
119460593,38,BENIGN
117470374,36,BENIGN
21259,2,BENIGN
21261,2,BENIGN
21168,2,BENIGN
76404152,38,BENIGN
21270,2,BENIGN
129463,16,BENIGN
117188224,24,BENIGN
21090,2,BENIGN
21100,2,BENIGN
21154,2,BENIGN
65859,2,BENIGN
21086,2,BENIGN
21356,2,BENIGN
21256,2,BENIGN
21374,2,BENIGN
21024,2,BENIGN
21005,2,BENIGN
21131,2,BENIGN
21186,2,BENIGN
20992,2,BENIGN
21078,2,BENIGN
21135,2,BENIGN
1,2,BENIGN
174,2,BENIGN
115857221,38,BENIGN
20971,2,BENIGN
21170,2,BENIGN
21151,2,BENIGN
21022,2,BENIGN
21032,2,BENIGN
21019,2,BENIGN
21009,2,BENIGN
21863,2,BENIGN
21193,2,BENIGN
20967,2,BENIGN
21032,2,BENIGN
21180,2,BENIGN
20977,2,BENIGN
21288,2,BENIGN
21233,2,BENIGN
21126,2,BENIGN
21194,2,BENIGN
21221,2,BENIGN
21218,2,BENIGN
21266,2,BENIGN
21199,2,BENIGN
21113,2,BENIGN
21203,2,BENIGN
21233,2,BENIGN
21151,2,BENIGN
21269,2,BENIGN
21107,2,BENIGN
21181,2,BENIGN
117330741,34,BENIGN
29445,2,BENIGN
117371951,89,BENIGN
29299,2,BENIGN
31596,2,BENIGN
21210,2,BENIGN
21354,2,BENIGN
21354,2,BENIGN
116655895,34,BENIGN
21228,2,BENIGN
21227,2,BENIGN
21008,2,BENIGN
21132,2,BENIGN
117480445,122,BENIGN
21296,2,BENIGN
20927,2,BENIGN
21340,2,BENIGN
21340,2,BENIGN
117301664,34,BENIGN
20922,2,BENIGN
21358,2,BENIGN
21152,2,BENIGN
117223416,32,BENIGN
21186,2,BENIGN
20981,2,BENIGN
21071,2,BENIGN
21226,2,BENIGN
21224,2,BENIGN
20987,2,BENIGN
