Flow Duration,Total Backward Packets,Label
110,0,BENIGN
2,0,BENIGN
932,0,BENIGN
61,4,BENIGN
196,0,BENIGN
126,0,BENIGN
1,0,BENIGN
1,0,BENIGN
4,0,BENIGN
99,2,BENIGN
4,0,BENIGN
91,2,BENIGN
1,0,BENIGN
135798,2,BENIGN
9014948,0,BENIGN
21046,2,BENIGN
65028406,0,BENIGN
112297650,0,BENIGN
112958286,0,BENIGN
21070,2,BENIGN
1643102,44,BENIGN
217,5,BENIGN
52811,2,BENIGN
15670970,20,BENIGN
5384485,2,BENIGN
21273,2,BENIGN
21275,2,BENIGN
21094,2,BENIGN
21219,2,BENIGN
117468529,40,BENIGN
5362515,2,BENIGN
119460593,44,BENIGN
117470374,40,BENIGN
21259,2,BENIGN
21261,2,BENIGN
21168,2,BENIGN
76404152,42,BENIGN
21270,2,BENIGN
129463,12,BENIGN
117188224,19,BENIGN
21090,2,BENIGN
21100,2,BENIGN
21154,2,BENIGN
65859,2,BENIGN
21086,2,BENIGN
21356,2,BENIGN
21256,2,BENIGN
21374,2,BENIGN
21024,2,BENIGN
21005,2,BENIGN
21131,2,BENIGN
21186,2,BENIGN
20992,2,BENIGN
21078,2,BENIGN
21135,2,BENIGN
1,0,BENIGN
174,2,BENIGN
115857221,35,BENIGN
20971,2,BENIGN
21170,2,BENIGN
21151,2,BENIGN
21022,2,BENIGN
21032,2,BENIGN
21019,2,BENIGN
21009,2,BENIGN
21863,2,BENIGN
21193,2,BENIGN
20967,2,BENIGN
21032,2,BENIGN
21180,2,BENIGN
20977,2,BENIGN
21288,2,BENIGN
21233,2,BENIGN
21126,2,BENIGN
21194,2,BENIGN
21221,2,BENIGN
21218,2,BENIGN
21266,2,BENIGN
21199,2,BENIGN
21113,2,BENIGN
21203,2,BENIGN
21233,2,BENIGN
21151,2,BENIGN
21269,2,BENIGN
21107,2,BENIGN
21181,2,BENIGN
117330741,30,BENIGN
29445,2,BENIGN
117371951,129,BENIGN
29299,2,BENIGN
31596,2,BENIGN
21210,2,BENIGN
21354,2,BENIGN
21354,2,BENIGN
116655895,29,BENIGN
21228,2,BENIGN
21227,2,BENIGN
21008,2,BENIGN
21132,2,BENIGN
117480445,166,BENIGN
21296,2,BENIGN
20927,2,BENIGN
21340,2,BENIGN
21340,2,BENIGN
117301664,37,BENIGN
20922,2,BENIGN
21358,2,BENIGN
21152,2,BENIGN
117223416,28,BENIGN
21186,2,BENIGN
20981,2,BENIGN
21071,2,BENIGN
21226,2,BENIGN
21224,2,BENIGN
20987,2,BENIGN
115867612,28,BENIGN
21011,2,BENIGN
21205,2,BENIGN
21204,2,BENIGN
21286,2,BENIGN
97149162,0,BENIGN
40147,1,BENIGN
54939,1,BENIGN
155,2,BENIGN
116,2,BENIGN
21075,2,BENIGN
20986,2,BENIGN
21158,2,BENIGN
662708,24,BENIGN
110198888,30,BENIGN
20957,2,BENIGN
47194,2,BENIGN
58377,2,BENIGN
21225,2,BENIGN
21076,2,BENIGN
21095,2,BENIGN
21091,2,BENIGN
59206,2,BENIGN
47320,2,BENIGN
21181,2,BENIGN
21183,2,BENIGN
21062,2,BENIGN
21323,2,BENIGN
21324,2,BENIGN
21234,2,BENIGN
47270,2,BENIGN
21059,2,BENIGN
20961,2,BENIGN
45077,2,BENIGN
409087,2,BENIGN
21077,2,BENIGN
21125,2,BENIGN
61210305,26,BENIGN
20969,2,BENIGN
523241,14,BENIGN
21059,2,BENIGN
46036,2,BENIGN
21124,2,BENIGN
117378909,30,BENIGN
119718291,32,BENIGN
21019,2,BENIGN
55231,2,BENIGN
21066,2,BENIGN
7342858,8,BENIGN
7342744,8,BENIGN
55453,3,BENIGN
7342510,8,BENIGN
7342464,8,BENIGN
55606,3,BENIGN
7339407,8,BENIGN
7335457,8,BENIGN
7339058,8,BENIGN
7335021,8,BENIGN
7334257,8,BENIGN
7334096,8,BENIGN
7333404,8,BENIGN
7336646,8,BENIGN
14340605,10,BENIGN
30056943,11,BENIGN
30057064,11,BENIGN
21020,2,BENIGN
228976,9,BENIGN
199670,10,BENIGN
21232,2,BENIGN
158,2,BENIGN
122,2,BENIGN
7164744,8,BENIGN
55500,1,BENIGN
14340952,10,BENIGN
14341309,10,BENIGN
7361400,8,BENIGN
5746625,2,BENIGN
5746465,2,BENIGN
5725203,2,BENIGN
55636,3,BENIGN
113,2,BENIGN
103,2,BENIGN
117745248,39,BENIGN
239154,14,BENIGN
21150,2,BENIGN
116652001,34,BENIGN
116651933,32,BENIGN
21193,2,BENIGN
21020,2,BENIGN
118559779,297,BENIGN
21459,2,BENIGN
40941,3,BENIGN
21527,2,BENIGN
183150,12,BENIGN
178814,11,BENIGN
222659,12,BENIGN
225099,12,BENIGN
117482984,20,BENIGN
22145,2,BENIGN
166486,12,BENIGN
21519,2,BENIGN
116398110,30,BENIGN
116397935,30,BENIGN
116397619,30,BENIGN
5157421,2,BENIGN
21083,2,BENIGN
110140041,53,BENIGN
1,0,BENIGN
1,0,BENIGN
1,0,BENIGN
2280,2,BENIGN
3,0,BENIGN
176,2,BENIGN
285,2,BENIGN
1,0,BENIGN
1,0,BENIGN
249,2,BENIGN
320,2,BENIGN
21043,2,BENIGN
116844217,74,BENIGN
21180,2,BENIGN
20976,2,BENIGN
21072,2,BENIGN
115761052,113,BENIGN
21436,2,BENIGN
21290,2,BENIGN
68456,7,BENIGN
21180,2,BENIGN
116544561,32,BENIGN
3,0,BENIGN
94,0,BENIGN
33626,2,BENIGN
21148,2,BENIGN
21208,2,BENIGN
21186,2,BENIGN
21316,2,BENIGN
21151,2,BENIGN
116416026,24,BENIGN
117406979,106,BENIGN
14340083,10,BENIGN
21036,2,BENIGN
162432,14,BENIGN
109356130,61,BENIGN
22023,2,BENIGN
21105,2,BENIGN
14341401,10,BENIGN
21096,2,BENIGN
14341071,10,BENIGN
116317759,26,BENIGN
20987,2,BENIGN
41736,3,BENIGN
104873,2,BENIGN
116248948,93,BENIGN
116249005,39,BENIGN
115233665,42,BENIGN
115233738,45,BENIGN
21095,2,BENIGN
115234035,39,BENIGN
115234093,42,BENIGN
69915,2,BENIGN
21117,2,BENIGN
