Flow Duration,Flow IAT Max,Label
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
2,2,Portmap
0,0,Portmap
1,1,Portmap
2,2,Portmap
2,2,Portmap
1,1,Portmap
2,2,Portmap
2,2,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
49,49,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
49,49,Portmap
1,1,Portmap
49,49,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
48,48,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
48,48,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
49,49,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
48,48,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
51,51,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
47,47,Portmap
1,1,Portmap
1,1,Portmap
49,49,Portmap
1,1,Portmap
1,1,Portmap
49,49,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
48,48,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
50,50,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
47,47,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
48,48,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
47,47,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
47,47,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
44,44,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
2,2,Portmap
2,2,Portmap
0,0,Portmap
2,2,Portmap
26,26,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
47,47,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
49,49,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
46,46,Portmap
1,1,Portmap
0,0,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
1,1,Portmap
